,0,1,2,3,4,5,6,7,8,9,10,11
0,1622505600000,2706.46,2741.45,2689.00,2731.17,110983.334,1622507399999,302005522.68697,121656,53632.190,145942603.43124,0
1,1622507400000,2731.23,2740.90,2710.00,2730.99,50401.297,1622509199999,137421352.41533,69158,25557.022,69693907.18970,0
2,1622509200000,2730.98,2731.71,2667.35,2681.19,79462.591,1622510999999,214352714.37891,91894,33346.832,89981728.00414,0
3,1622511000000,2681.25,2687.38,2656.58,2662.75,59409.882,1622512799999,158867300.44177,78178,30391.262,81297332.35736,0
4,1622512800000,2662.70,2676.25,2613.15,2623.83,105817.154,1622514599999,279171704.54415,119835,50189.115,132415044.54023,0
5,1622514600000,2623.84,2649.00,2622.00,2644.77,52129.742,1622516399999,137587301.14040,66595,29073.985,76745667.10530,0
6,1622516400000,2644.75,2678.00,2633.69,2657.65,71113.698,1622518199999,189190063.84714,83837,35509.733,94460985.30274,0
7,1622518200000,2657.79,2657.89,2612.77,2631.50,73872.310,1622519999999,194493771.02148,86759,36135.777,95137412.59970,0
8,1622520000000,2631.25,2657.08,2616.00,2654.90,52346.836,1622521799999,138007237.94174,70381,28200.687,74374699.03614,0
9,1622521800000,2654.89,2660.00,2636.05,2636.53,38119.194,1622523599999,101001764.05839,57648,17398.521,46110724.47021,0
10,1622523600000,2636.53,2684.26,2632.35,2666.35,54784.000,1622525399999,145872760.86279,73250,27574.818,73422374.31116,0
11,1622525400000,2666.28,2718.03,2663.52,2698.95,85813.384,1622527199999,231458504.96033,95074,42584.968,114836991.78793,0
12,1622527200000,2698.94,2703.99,2657.52,2670.10,74669.460,1622528999999,200249687.30610,91367,33686.483,90345368.99390,0
13,1622529000000,2670.10,2670.10,2640.00,2656.90,72299.860,1622530799999,191596955.93732,86907,34564.882,91608307.94013,0
14,1622530800000,2656.90,2679.56,2635.51,2637.20,69655.902,1622532599999,185140011.78862,87844,33756.486,89774169.94865,0
15,1622532600000,2637.20,2654.84,2630.00,2652.36,47664.160,1622534399999,126027091.24925,64371,24398.118,64515271.15076,0
16,1622534400000,2652.35,2672.49,2574.92,2580.46,185947.667,1622536199999,485341578.36175,174711,84547.478,220699891.87898,0
17,1622536200000,2580.34,2588.66,2550.00,2575.02,137976.856,1622537999999,354670911.66471,138006,69148.958,177802030.70670,0
18,1622538000000,2575.02,2597.99,2554.23,2555.85,97297.142,1622539799999,250976419.26149,105237,45842.529,118289090.49363,0
19,1622539800000,2555.86,2586.37,2546.05,2573.98,94633.829,1622541599999,242912194.23563,101150,49138.367,126165064.31674,0
20,1622541600000,2573.99,2607.18,2558.55,2600.00,91786.658,1622543399999,237522818.44134,97100,48946.030,126684394.26541,0
21,1622543400000,2600.00,2626.35,2589.00,2610.82,85830.938,1622545199999,223457435.71988,94523,44844.649,116792960.26599,0
22,1622545200000,2610.95,2640.67,2592.05,2618.70,86075.401,1622546999999,225071739.48607,90121,45306.930,118535795.12081,0
23,1622547000000,2618.69,2639.49,2616.97,2624.15,48370.761,1622548799999,127043742.92774,62247,24749.902,65014791.67681,0
24,1622548800000,2624.14,2624.14,2566.00,2577.19,118531.985,1622550599999,306725315.95659,126023,54363.708,140616151.91055,0
25,1622550600000,2577.19,2592.66,2554.00,2557.35,69348.040,1622552399999,178479343.88049,82350,34690.369,89306312.69248,0
26,1622552400000,2557.34,2602.95,2523.82,2601.35,176263.679,1622554199999,450320814.10856,173190,90487.827,231319810.91617,0
27,1622554200000,2601.35,2669.08,2598.86,2634.89,232011.038,1622555999999,610667109.39208,219175,116275.063,306030747.39194,0
28,1622556000000,2634.52,2644.62,2594.00,2616.85,128721.768,1622557799999,336999404.47732,134262,61230.402,160364643.03713,0
29,1622557800000,2616.94,2626.16,2574.66,2590.68,105047.292,1622559599999,273332185.05073,116776,51897.556,135102584.34962,0
30,1622559600000,2590.46,2590.95,2554.00,2574.89,98506.791,1622561399999,253079330.07730,109903,51234.906,131649023.94187,0
31,1622561400000,2574.88,2578.00,2544.06,2567.57,77068.397,1622563199999,197555345.58006,90689,37025.174,94946796.70595,0
32,1622563200000,2567.57,2589.00,2546.53,2570.42,101051.160,1622564999999,259125780.11038,108437,50845.396,130447485.30425,0
33,1622565000000,2570.41,2582.55,2530.12,2538.67,82129.413,1622566799999,209789094.26572,91370,36960.711,94463265.29780,0
34,1622566800000,2538.75,2552.94,2527.15,2535.48,58854.687,1622568599999,149466673.21061,73267,29877.627,75896612.88546,0
35,1622568600000,2535.49,2564.49,2530.48,2557.23,52646.569,1622570399999,134342688.98752,62659,27870.324,71118829.42106,0
36,1622570400000,2557.22,2573.54,2553.93,2566.54,41657.609,1622572199999,106905459.24113,56552,20966.549,53813040.38041,0
37,1622572200000,2566.55,2585.83,2556.00,2576.48,46929.152,1622573999999,120792960.89823,58494,25334.838,65229178.22966,0
38,1622574000000,2576.25,2576.80,2550.37,2556.08,38816.958,1622575799999,99344797.82195,56361,18939.456,48467873.13800,0
39,1622575800000,2556.08,2556.08,2527.02,2542.87,43106.747,1622577599999,109539983.65899,59539,20343.443,51691206.27436,0
40,1622577600000,2542.55,2567.07,2535.04,2561.29,48924.044,1622579399999,124895004.87187,63286,26117.691,66676963.95749,0
41,1622579400000,2561.31,2581.84,2558.84,2578.70,34930.708,1622581199999,89731433.11021,51949,19057.409,48957397.44327,0
42,1622581200000,2578.70,2593.58,2566.80,2586.14,35113.429,1622582999999,90578943.04851,53980,18750.988,48375521.69728,0
43,1622583000000,2586.14,2601.29,2558.97,2600.28,52715.917,1622584799999,136092174.46122,65690,27704.275,71565145.74353,0
44,1622584800000,2600.24,2616.44,2587.45,2589.44,54330.714,1622586599999,141274663.78595,69077,25691.743,66827345.97700,0
45,1622586600000,2589.40,2597.17,2573.00,2585.89,38059.705,1622588399999,98379912.07533,54175,18110.706,46823685.25330,0
46,1622588400000,2585.88,2630.39,2585.88,2622.10,40439.919,1622590199999,105353072.30497,61385,22127.077,57671072.99325,0
47,1622590200000,2622.09,2652.96,2616.19,2634.63,78317.493,1622591999999,206398781.28111,82143,39988.838,105398652.99995,0
48,1622592000000,2634.61,2651.15,2588.32,2597.50,91163.056,1622593799999,238812295.29690,101807,41847.112,109626502.80538,0
49,1622593800000,2597.49,2622.21,2581.16,2586.09,58720.165,1622595599999,152765617.44475,74112,28641.404,74555098.60435,0
50,1622595600000,2586.09,2599.99,2551.03,2562.68,74283.935,1622597399999,190819216.35514,87440,36805.263,94571819.69629,0
51,1622597400000,2562.68,2592.00,2562.67,2589.61,39084.527,1622599199999,100664076.28602,53357,21619.354,55694350.05846,0
52,1622599200000,2589.62,2619.86,2575.00,2609.08,51469.669,1622600999999,133795491.28106,67602,26295.906,68371907.08305,0
53,1622601000000,2608.94,2621.00,2593.11,2593.11,47167.284,1622602799999,123080087.99474,62323,22153.596,57829950.15198,0
54,1622602800000,2593.10,2644.77,2592.56,2626.07,64029.562,1622604599999,168127309.87910,80269,33326.680,87497045.78770,0
55,1622604600000,2626.18,2630.79,2608.56,2616.10,34370.289,1622606399999,90004739.60716,52802,17294.375,45294560.53313,0
56,1622606400000,2616.09,2647.30,2616.09,2643.10,44460.754,1622608199999,117097122.68404,58646,24289.523,63986998.26288,0
57,1622608200000,2643.10,2648.00,2618.00,2624.40,40429.799,1622609999999,106287272.77316,51834,18587.755,48872288.50134,0
58,1622610000000,2624.25,2639.95,2608.56,2622.61,65355.275,1622611799999,171470661.91753,69790,34858.922,91468907.15592,0
59,1622611800000,2622.60,2647.08,2610.30,2639.08,45834.261,1622613599999,120529874.56594,61775,23789.086,62565301.06270,0
60,1622613600000,2639.08,2660.61,2630.58,2644.73,63487.481,1622615399999,168055932.10751,84931,32300.285,85524290.50517,0
61,1622615400000,2644.73,2645.76,2628.56,2634.54,42327.410,1622617199999,111538443.56871,54440,19256.070,50743125.38513,0
62,1622617200000,2634.54,2677.99,2633.50,2669.00,80545.081,1622618999999,214393435.94086,94318,41407.962,110183518.99273,0
63,1622619000000,2669.00,2711.38,2668.95,2694.41,107709.866,1622620799999,290200427.59891,118215,54702.730,147361430.68950,0
64,1622620800000,2694.40,2704.09,2677.20,2681.01,70594.777,1622622599999,189714652.53494,78809,32357.113,86973909.53001,0
65,1622622600000,2681.01,2717.63,2681.00,2715.00,84887.034,1622624399999,229242962.11106,91134,47222.478,127559218.17992,0
66,1622624400000,2714.99,2723.27,2685.74,2701.58,87318.938,1622626199999,236033499.93929,97426,40691.814,110020395.23401,0
67,1622626200000,2701.86,2708.21,2682.99,2684.97,66777.076,1622627999999,179791268.38642,65559,31712.246,85387905.32584,0
68,1622628000000,2684.98,2698.00,2676.16,2696.53,52647.397,1622629799999,141421860.56586,64479,26671.271,71663091.35344,0
69,1622629800000,2696.61,2705.00,2671.00,2682.50,58369.213,1622631599999,156705968.97538,74499,26718.823,71745833.26388,0
70,1622631600000,2682.51,2698.21,2661.00,2681.18,100004.921,1622633399999,267762282.12721,103689,46304.720,124032594.01714,0
71,1622633400000,2681.19,2705.00,2678.00,2695.34,52835.483,1622635199999,142344777.47310,69582,27749.151,74766923.60502,0
72,1622635200000,2695.33,2718.21,2692.63,2707.57,75094.491,1622636999999,203436833.37891,84595,38422.615,104087036.54783,0
73,1622637000000,2707.69,2713.45,2697.12,2701.44,37580.799,1622638799999,101639917.85494,56146,16776.383,45379873.44343,0
74,1622638800000,2701.42,2749.44,2681.04,2739.69,108381.190,1622640599999,293481166.19941,121414,57654.513,156227704.27259,0
75,1622640600000,2739.69,2756.00,2728.05,2733.67,116417.633,1622642399999,319044159.29278,123538,54332.213,148946107.05848,0
76,1622642400000,2733.68,2749.00,2720.57,2744.72,71761.180,1622644199999,196174262.33811,83284,38141.287,104298904.92648,0
77,1622644200000,2744.71,2780.57,2740.62,2766.44,115187.726,1622645999999,318384556.49253,131266,60298.657,166684778.85194,0
78,1622646000000,2766.53,2799.00,2766.53,2786.68,94583.718,1622647799999,263391385.82164,113271,47394.932,131984878.81379,0
79,1622647800000,2786.69,2798.68,2768.76,2791.01,70327.821,1622649599999,195694841.05080,83761,32468.287,90371478.74484,0
80,1622649600000,2791.01,2804.04,2767.20,2782.23,127935.771,1622651399999,356549300.03767,132104,63063.322,175771936.30800,0
81,1622651400000,2782.19,2783.98,2747.00,2761.64,99643.040,1622653199999,275108926.79252,97052,48689.055,134435566.88208,0
82,1622653200000,2761.64,2774.52,2743.53,2748.04,45291.344,1622654999999,124943741.15469,62783,22098.008,60977447.44965,0
83,1622655000000,2748.04,2772.24,2742.00,2770.67,40344.795,1622656799999,111398263.65132,54739,20574.271,56822594.56214,0
84,1622656800000,2770.68,2773.74,2751.00,2765.19,35967.891,1622658599999,99344802.06143,52167,17813.728,49206048.32544,0
85,1622658600000,2765.19,2778.00,2759.00,2774.00,29932.139,1622660399999,82867561.39903,45742,15707.703,43491998.41895,0
86,1622660400000,2774.00,2774.37,2755.19,2756.30,28398.063,1622662199999,78471526.96846,43545,12900.844,35644218.30998,0
87,1622662200000,2756.30,2767.43,2751.90,2759.03,24710.205,1622663999999,68198594.40833,40365,12552.481,34645745.49002,0
88,1622664000000,2759.03,2765.00,2724.91,2732.00,62499.092,1622665799999,171322844.03407,71384,26130.571,71642777.15307,0
89,1622665800000,2732.07,2739.54,2717.00,2723.99,42850.568,1622667599999,116895207.41018,55248,21867.260,59665400.43790,0
90,1622667600000,2723.98,2739.84,2723.95,2729.67,29891.883,1622669399999,81673951.56358,44042,15493.720,42335068.15458,0
91,1622669400000,2729.67,2736.50,2713.13,2718.64,38061.958,1622671199999,103761745.33169,50971,18499.561,50443928.08604,0
92,1622671200000,2719.03,2731.71,2693.00,2697.11,56886.356,1622672999999,154257665.89389,70750,24446.678,66317442.38355,0
93,1622673000000,2697.17,2709.13,2673.00,2697.46,76057.792,1622674799999,204456287.09623,85447,36873.012,99134603.61270,0
94,1622674800000,2697.46,2722.00,2688.26,2717.79,43337.562,1622676599999,117301828.72564,58315,22786.406,61676335.41994,0
95,1622676600000,2717.79,2722.33,2705.01,2707.22,31881.551,1622678399999,86556479.00150,47303,15656.302,42511903.71283,0
96,1622678400000,2707.03,2728.00,2684.22,2715.07,92035.893,1622680199999,248776175.13719,98817,47150.335,127476688.23342,0
97,1622680200000,2715.18,2715.30,2688.00,2706.17,42325.433,1622681999999,114211463.11040,58398,21357.755,57640811.13698,0
98,1622682000000,2706.17,2720.21,2699.26,2707.67,35183.368,1622683799999,95395260.21831,50730,17394.866,47171064.89154,0
99,1622683800000,2707.67,2707.70,2666.61,2671.27,64863.346,1622685599999,174233550.23305,72831,28158.057,75650393.61381,0
100,1622685600000,2671.25,2694.00,2662.00,2684.29,47109.923,1622687399999,126243360.92129,66234,24434.143,65486793.88837,0
101,1622687400000,2684.29,2702.00,2671.33,2697.72,44313.826,1622689199999,119106142.93017,61220,23569.706,63375743.63615,0
102,1622689200000,2697.72,2717.84,2688.71,2711.72,43267.469,1622690999999,117129105.62127,60307,22060.917,59725439.76614,0
103,1622691000000,2711.70,2728.81,2703.11,2725.18,45145.745,1622692799999,122603610.44216,58601,23536.942,63935052.18504,0
104,1622692800000,2725.19,2750.00,2722.65,2743.82,64039.552,1622694599999,175464857.49382,79911,32557.298,89210276.34427,0
105,1622694600000,2743.82,2774.84,2743.03,2766.98,60707.176,1622696399999,167544685.98745,72965,31492.904,86915766.25370,0
106,1622696400000,2766.99,2800.00,2766.18,2780.26,98593.221,1622698199999,274790806.19085,107718,48372.367,134847696.95558,0
107,1622698200000,2780.26,2827.67,2772.44,2817.00,123560.441,1622699999999,346616591.20701,127090,67106.872,188262640.64486,0
108,1622700000000,2817.00,2829.85,2795.00,2812.77,86393.258,1622701799999,242712102.83091,94899,39373.720,110640571.47115,0
109,1622701800000,2812.78,2850.00,2807.00,2846.62,106205.854,1622703599999,301220713.33805,109891,55207.226,156576611.93509,0
110,1622703600000,2846.62,2849.46,2813.19,2817.24,96445.467,1622705399999,272854562.50058,96605,43913.193,124255734.84682,0
111,1622705400000,2817.23,2837.16,2807.36,2820.83,62955.531,1622707199999,177719744.87911,72651,30979.868,87476911.63670,0
112,1622707200000,2820.83,2848.00,2808.67,2841.37,77359.109,1622708999999,219096050.66904,81517,39913.652,113070659.62254,0
113,1622709000000,2841.32,2852.80,2824.36,2836.34,69286.326,1622710799999,196735514.33122,77510,33265.937,94496226.58859,0
114,1622710800000,2836.34,2866.00,2827.00,2853.71,103068.173,1622712599999,293817054.14920,104798,55905.076,159370624.33844,0
115,1622712600000,2853.70,2876.57,2844.50,2875.02,84861.388,1622714399999,242820991.97623,89820,43249.383,123780577.14911,0
116,1622714400000,2875.02,2892.23,2867.00,2879.81,117964.216,1622716199999,339919818.23405,113341,59212.350,170648083.04266,0
117,1622716200000,2879.81,2883.58,2861.77,2874.43,67733.375,1622717999999,194612790.89427,78822,30473.734,87570786.03832,0
118,1622718000000,2874.43,2880.94,2816.62,2830.53,162480.967,1622719799999,461624587.03532,149033,72688.287,206487265.78036,0
119,1622719800000,2830.53,2846.85,2800.41,2808.22,121321.409,1622721599999,342599275.39043,108077,60245.633,170185595.20979,0
120,1622721600000,2808.26,2815.77,2771.00,2795.77,175550.033,1622723399999,490159450.85178,150754,83021.243,231796819.94975,0
121,1622723400000,2795.77,2837.00,2795.77,2827.07,110864.257,1622725199999,312606254.70430,104156,56498.877,159333216.65463,0
122,1622725200000,2827.07,2844.90,2800.00,2808.63,127588.029,1622726999999,360163104.15373,117498,60344.203,170337845.93223,0
123,1622727000000,2808.63,2819.45,2762.61,2779.15,156004.784,1622728799999,434674629.66085,143583,74795.625,208400292.82247,0
124,1622728800000,2779.72,2804.49,2765.93,2776.16,97437.870,1622730599999,271330127.57206,101440,49030.352,136545600.51390,0
125,1622730600000,2776.24,2800.00,2768.22,2793.45,66047.865,1622732399999,184095478.23345,79161,30831.711,85939040.54379,0
126,1622732400000,2793.44,2818.89,2783.00,2791.21,86485.379,1622734199999,242153947.21148,93547,41977.302,117555628.42177,0
127,1622734200000,2791.21,2810.64,2776.30,2789.34,59378.470,1622735999999,165890450.74745,78022,29261.952,81753046.94592,0
128,1622736000000,2789.46,2815.00,2779.03,2811.96,70511.663,1622737799999,197358846.36324,85933,37313.002,104452154.48531,0
129,1622737800000,2812.00,2842.00,2805.24,2833.34,85783.848,1622739599999,242732230.89798,91787,43952.005,124361857.19003,0
130,1622739600000,2833.31,2853.86,2825.02,2848.40,54782.475,1622741399999,155499400.55106,72175,28752.282,81629425.63903,0
131,1622741400000,2848.40,2848.40,2820.25,2823.80,48262.929,1622743199999,136654817.75632,61737,20255.818,57354912.05784,0
132,1622743200000,2823.80,2837.84,2808.71,2812.00,38300.151,1622744999999,108093917.18649,53461,19133.548,54014744.03264,0
133,1622745000000,2811.99,2812.55,2785.32,2791.10,66926.575,1622746799999,187259835.71818,69560,32853.204,91942255.72183,0
134,1622746800000,2791.00,2805.00,2783.00,2800.25,39701.122,1622748599999,110946849.17706,56867,21000.662,58696959.37037,0
135,1622748600000,2800.25,2802.99,2786.50,2794.19,24721.567,1622750399999,69100230.58470,43924,11716.673,32753036.42435,0
136,1622750400000,2794.20,2811.80,2790.35,2808.68,30453.256,1622752199999,85324615.48716,46884,16177.157,45326950.82521,0
137,1622752200000,2808.67,2825.00,2798.06,2823.65,31995.049,1622753999999,89872065.37919,46460,16163.557,45417015.38830,0
138,1622754000000,2823.64,2850.00,2812.54,2826.87,53870.471,1622755799999,152706457.35043,72195,28974.125,82136702.89910,0
139,1622755800000,2826.87,2832.38,2810.00,2818.30,34860.495,1622757599999,98295412.65299,51348,15591.571,43967609.32993,0
140,1622757600000,2818.29,2845.74,2815.56,2832.91,44505.578,1622759399999,126083079.33152,58775,21834.685,61854148.86731,0
141,1622759400000,2833.32,2850.00,2830.79,2834.71,37117.306,1622761199999,105422223.45410,52486,17417.988,49478108.75765,0
142,1622761200000,2834.68,2864.05,2823.34,2857.87,56472.156,1622762999999,160910631.61930,74084,29563.723,84250996.48894,0
143,1622763000000,2857.88,2873.47,2848.00,2858.34,46271.441,1622764799999,132446189.07718,63546,22991.656,65819945.85022,0
144,1622764800000,2858.34,2861.53,2805.00,2817.51,93764.021,1622766599999,265228909.78286,102588,42113.978,119150758.82913,0
145,1622766600000,2817.51,2818.00,2792.60,2811.51,66769.103,1622768399999,187281395.59455,75095,31083.039,87200898.29755,0
146,1622768400000,2811.61,2811.69,2696.84,2730.63,230873.056,1622770199999,633198573.64915,206233,105743.594,289809652.78163,0
147,1622770200000,2730.63,2747.78,2715.40,2738.75,85429.875,1622771999999,233502200.52637,101912,43224.449,118162354.01865,0
148,1622772000000,2738.75,2739.00,2681.00,2712.43,111708.977,1622773799999,302384707.58849,120935,50108.061,135649649.28172,0
149,1622773800000,2712.43,2737.19,2711.25,2733.61,56536.273,1622775599999,154144127.54716,70046,31147.965,84928949.95408,0
150,1622775600000,2733.60,2759.30,2718.00,2756.33,63793.582,1622777399999,174607803.40989,76092,34306.835,93945640.91535,0
151,1622777400000,2756.34,2766.96,2744.61,2753.00,63183.395,1622779199999,174068621.92547,71955,30387.408,83724049.10120,0
152,1622779200000,2753.01,2764.52,2725.68,2737.89,66039.908,1622780999999,181222186.05864,76224,29119.047,79946252.47473,0
153,1622781000000,2737.89,2749.13,2718.00,2721.23,54464.130,1622782799999,148807296.15529,69079,26924.375,73587070.96652,0
154,1622782800000,2721.32,2737.91,2679.21,2694.98,137585.171,1622784599999,371875256.37771,128539,65564.277,177196162.20652,0
155,1622784600000,2695.13,2702.27,2644.63,2658.34,174984.618,1622786399999,466726839.43155,162221,84578.216,225614542.56414,0
156,1622786400000,2658.33,2682.54,2651.00,2658.71,85198.877,1622788199999,227413260.19907,92981,44444.491,118664298.01081,0
157,1622788200000,2658.70,2665.74,2612.00,2629.49,154952.049,1622789999999,408366688.14773,148619,73342.227,193338389.85531,0
158,1622790000000,2629.51,2630.00,2588.38,2625.08,187347.778,1622791799999,489001083.41419,172281,93157.852,243257893.39121,0
159,1622791800000,2625.07,2645.20,2613.00,2620.93,111934.062,1622793599999,294529182.92862,105560,55473.643,146003460.46671,0
160,1622793600000,2620.94,2641.00,2585.00,2640.89,147784.250,1622795399999,386563523.87767,133625,77501.667,202741903.16774,0
161,1622795400000,2641.00,2645.67,2619.07,2622.74,63705.616,1622797199999,167575823.48980,74699,32064.244,84354968.93933,0
162,1622797200000,2622.75,2637.09,2592.10,2626.26,108074.614,1622798999999,282676371.91508,105561,54149.069,141726221.68568,0
163,1622799000000,2626.25,2652.66,2612.05,2652.57,87971.285,1622800799999,231895848.88573,89123,48173.852,127028100.00522,0
164,1622800800000,2652.59,2665.00,2631.48,2636.44,95317.747,1622802599999,252640616.46122,99455,45353.377,120255748.51255,0
165,1622802600000,2636.45,2646.00,2622.11,2622.91,79909.728,1622804399999,210478621.21718,82299,40709.351,107239980.59827,0
166,1622804400000,2622.90,2640.98,2612.18,2631.88,67640.265,1622806199999,177781703.96176,76692,34641.930,91069580.81703,0
167,1622806200000,2631.99,2631.99,2610.78,2624.99,64457.908,1622807999999,168979232.70631,73193,31315.102,82104466.21382,0
168,1622808000000,2625.00,2625.00,2540.61,2565.08,231269.300,1622809799999,595133872.63495,203505,108089.257,278182583.42635,0
169,1622809800000,2565.08,2657.58,2563.63,2643.79,237003.220,1622811599999,621704380.81370,197746,122186.837,320361308.17194,0
170,1622811600000,2643.66,2673.44,2627.50,2658.91,108196.186,1622813399999,286425614.66469,109980,54799.377,145123297.61264,0
171,1622813400000,2658.91,2662.00,2640.66,2652.60,84041.558,1622815199999,222757377.92710,80895,41996.035,111325996.31150,0
172,1622815200000,2652.61,2656.66,2603.72,2622.68,119385.462,1622816999999,313805372.21258,118732,57041.666,149927567.24163,0
173,1622817000000,2622.67,2654.99,2618.75,2644.76,77716.542,1622818799999,205053497.03373,86078,41930.108,110636991.82752,0
174,1622818800000,2644.84,2654.94,2632.50,2649.80,56526.559,1622820599999,149552831.31875,68744,28133.919,74447297.05840,0
175,1622820600000,2649.79,2662.99,2639.49,2656.51,76424.447,1622822399999,202841060.90631,76722,37518.642,99589847.58163,0
176,1622822400000,2656.54,2682.44,2650.08,2674.10,101629.092,1622824199999,271047105.57858,97807,52043.745,138820124.69213,0
177,1622824200000,2674.09,2675.00,2652.07,2662.41,53940.366,1622825999999,143634153.32529,64500,24958.271,66463383.02954,0
178,1622826000000,2662.42,2704.04,2649.08,2699.05,82310.402,1622827799999,220673815.63671,86855,44098.667,118257854.50925,0
179,1622827800000,2699.15,2712.97,2688.00,2688.57,58199.453,1622829599999,157210814.23850,66921,27508.095,74321282.42762,0
180,1622829600000,2688.57,2699.00,2676.00,2697.26,52646.560,1622831399999,141431201.72392,58874,27407.645,73636846.38464,0
181,1622831400000,2697.16,2706.72,2685.20,2700.59,38109.316,1622833199999,102811222.68553,49855,18803.336,50730435.19397,0
182,1622833200000,2700.25,2711.00,2683.45,2692.70,39530.171,1622834999999,106551849.05736,53353,19047.727,51344600.22730,0
183,1622835000000,2692.69,2700.28,2664.20,2679.04,46408.600,1622836799999,124410792.95390,59562,22385.730,60031963.58171,0
184,1622836800000,2679.16,2703.47,2678.83,2702.43,32803.502,1622838599999,88280555.61993,49577,17884.078,48135402.50437,0
185,1622838600000,2702.44,2710.23,2690.00,2700.78,32230.620,1622840399999,87018504.13521,48906,16851.958,45501578.62036,0
186,1622840400000,2700.79,2738.00,2700.78,2725.46,86772.511,1622842199999,236472729.32344,86078,46023.113,125416246.92258,0
187,1622842200000,2725.54,2733.31,2716.76,2732.98,28767.379,1622843999999,78349405.57098,46603,14320.343,39008003.06676,0
188,1622844000000,2732.97,2738.60,2710.85,2715.23,36255.518,1622845799999,98641625.01368,53321,16487.847,44869886.88783,0
189,1622845800000,2715.22,2734.93,2713.66,2714.23,29498.796,1622847599999,80407551.35932,45439,13972.409,38100297.59984,0
190,1622847600000,2714.22,2726.00,2648.47,2679.27,112090.888,1622849399999,300181909.51414,115231,54558.196,146101241.79483,0
191,1622849400000,2679.27,2707.00,2675.19,2689.21,62644.146,1622851199999,168595107.04826,74386,32421.802,87275616.39559,0
192,1622851200000,2689.41,2742.69,2673.60,2736.07,97454.173,1622852999999,264459656.51630,103248,50017.678,135773101.56499,0
193,1622853000000,2736.06,2777.14,2731.44,2768.65,95283.102,1622854799999,262687296.20212,101347,54445.182,150102019.70191,0
194,1622854800000,2768.49,2773.37,2746.38,2757.23,49617.527,1622856599999,136821294.56495,60305,22787.163,62846647.52151,0
195,1622856600000,2757.13,2773.50,2756.45,2759.99,37181.994,1622858399999,102833529.47857,53481,18588.152,51413937.77098,0
196,1622858400000,2760.00,2768.38,2749.61,2755.42,40984.547,1622860199999,113082690.02061,52954,18853.056,52030174.24105,0
197,1622860200000,2755.56,2773.32,2744.53,2763.14,53471.519,1622861999999,147461543.65976,62181,28074.062,77442607.01085,0
198,1622862000000,2763.14,2782.22,2755.00,2771.88,54144.489,1622863799999,149945558.90578,70576,26312.394,72877959.57782,0
199,1622863800000,2771.87,2776.00,2752.76,2762.28,33922.711,1622865599999,93674462.61384,51369,16141.400,44580498.85579,0
200,1622865600000,2762.28,2785.30,2760.58,2765.09,65726.359,1622867399999,182264319.78463,72223,34563.891,95861843.43695,0
201,1622867400000,2765.04,2789.90,2760.31,2783.65,37012.730,1622869199999,102806071.25852,55581,19483.054,54123319.95165,0
202,1622869200000,2783.76,2794.49,2766.47,2771.47,49107.335,1622870999999,136381581.74880,61814,23364.778,64909812.15086,0
203,1622871000000,2771.46,2777.06,2752.41,2771.78,42451.282,1622872799999,117371181.66113,58608,21160.502,58518892.37861,0
204,1622872800000,2771.78,2787.71,2765.22,2779.75,43545.027,1622874599999,121041162.18967,61234,21993.975,61139669.32339,0
205,1622874600000,2779.75,2784.72,2767.32,2780.61,32939.737,1622876399999,91441441.33302,49485,15276.527,42412196.00729,0
206,1622876400000,2780.63,2813.16,2776.56,2806.21,80922.246,1622878199999,226544370.22430,91223,43446.671,121607253.80013,0
207,1622878200000,2806.22,2811.90,2776.00,2781.15,77994.078,1622879999999,217822771.13247,86649,35344.788,98723126.27209,0
208,1622880000000,2781.12,2810.29,2768.00,2800.47,101882.698,1622881799999,284329944.94772,97039,52838.850,147483746.75548,0
209,1622881800000,2800.67,2815.56,2792.60,2808.70,56384.063,1622883599999,158181434.11197,71546,28648.483,80380867.73709,0
210,1622883600000,2808.59,2817.43,2792.00,2794.30,46498.497,1622885399999,130281540.98996,63314,22195.484,62199057.13703,0
211,1622885400000,2794.30,2794.41,2652.00,2704.77,259127.636,1622887199999,706863163.33034,238806,120906.492,329526551.71130,0
212,1622887200000,2704.76,2729.66,2680.00,2721.64,182056.079,1622888999999,493285372.61165,178046,92563.728,250830234.62349,0
213,1622889000000,2721.64,2723.50,2695.33,2709.09,83374.413,1622890799999,225866854.77511,92708,40976.758,111017672.44702,0
214,1622890800000,2709.08,2717.61,2662.86,2669.18,119741.592,1622892599999,321967854.15737,119944,53181.256,143041851.51765,0
215,1622892600000,2669.18,2685.00,2622.00,2640.25,167739.374,1622894399999,444631305.99678,165510,80382.019,213101146.05016,0
216,1622894400000,2640.34,2657.93,2595.22,2644.36,225168.276,1622896199999,591819354.40637,201557,112738.085,296402940.43660,0
217,1622896200000,2644.36,2664.45,2625.04,2641.75,100213.385,1622897999999,265089908.66430,104877,49552.188,131099849.92070,0
218,1622898000000,2641.77,2648.99,2610.17,2648.44,92263.410,1622899799999,242760861.24647,98065,45364.993,119381043.57592,0
219,1622899800000,2648.45,2649.00,2615.00,2616.14,70242.776,1622901599999,184716272.53320,77417,33297.362,87549726.99496,0
220,1622901600000,2616.14,2638.17,2603.00,2632.18,117881.898,1622903399999,308485644.81948,119361,59999.493,157029153.68375,0
